Code,Description,CAS Code,CAS Description
EQ153,Canopy Lighting,ELC_LGHT,Lighting Systems
EQ154,Canopy Soffit Lighting,ELC_LGHT,Lighting Systems
EQ155,Car Wash Building Lighting,ELC_LGHT,Lighting Systems
EQ156,Car Wash Directional Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ157,Car Wash Instruction Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ158,Car Wash Menu Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ159,Dispenser Mounted Spreaderbox Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ160,External Security Lighting,ELC_LGHT,Lighting Systems
EQ161,External Storeroom Lighting,ELC_LGHT,Lighting Systems
EQ162,Flag Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ163,Forecourt Traffic Direction Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ164,Information Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ165,Internal Lighting,ELC_LGHT,Lighting Systems
EQ166,Monolith Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ167,Motorway Price Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ168,Pole Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ169,Poster Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ170,Pylon Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ171,Restaurant Menu-Board Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ172,Restroom Building Lighting,ELC_LGHT,Lighting Systems
EQ173,Shop / Sales Building Lighting,ELC_LGHT,Lighting Systems
EQ174,Shop Display Freezer Electrical / Lighting Systems,ELC_LGHT,Lighting Systems
EQ175,Shop Display Fridge Electrical / Lighting Systems,ELC_LGHT,Lighting Systems
EQ176,Shop Pod Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ177,Shop Portico Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ178,Shop Product / Advertising Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ179,Site Entrance / Direction Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ180,Site Name Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ181,Slim Line (Low Level Price) Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ182,Snack / Food Display  Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ183,Spreaderbox Sign Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ184,Stanchion Mounted Spreaderbox Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ185,Tanker Discharge Area Electrical / Lighting Unit,ELC_LGHT,Lighting Systems
EQ186,Utility / Storeroom Freezer Electrical / Lighting Systems,ELC_LGHT,Lighting Systems
EQ187,Utility / Storeroom Fridge Electrical / Lighting Systems,ELC_LGHT,Lighting Systems
EQ188,Workshop Building Lighting,ELC_LGHT,Lighting Systems
EQ189,Electrical Transformers,ELC_PWR,Power Supplies
EQ190,Power Generator,ELC_PWR,Power Supplies
EQ193,Site Main Uninterruptible Power Supply,ELC_UPS,Uninterruptible power supply
EQ194,Voltage Regulator / Line Conditioner,ELC_UPS,Uninterruptible power supply
EQ197,Boundary Fence,FCT_BOUN,Boundary
EQ198,Boundary Walls,FCT_BOUN,Boundary
EQ199,Crash Barrier,FCT_BOUN,Boundary
EQ200,Leak Tight Tanker Discharge Area,FCT_DISC,Tanker Discharge Area
EQ201,Tanker Discharge Area,FCT_DISC,Tanker Discharge Area
EQ202,Dispenser Island,FCT_FILL,Vehicle Refuelling Area
EQ203,Leak Tight Vehicle Refuelling Area,FCT_FILL,Vehicle Refuelling Area
EQ204,Vehicle Refuelling Area,FCT_FILL,Vehicle Refuelling Area
EQ205,HGV Lanes,FCT_HGV,Truck Lanes
