Code,Description
ACCR,Accident Report
ADJ,Adjust
ALN,Align
AR,Add Refrigerant
CLN,Clean
COMM,Commissioning
CONDR,Condition Report
INS,Insulate
MOD,Modification
MS,Make Safe
NFF,No Fault Found
PNT,Paint
PREV,Preventative Maintenance
PRI,Prime
REF,Referral
REPA,Repair
REPL,Replace
RES,Reset/Restart
REW,Rewire
RK,Rekitted
RR,Remove Refrigerant
SEC,Secure
TGT,Tighten
VER,Verify
