Marx Service Centre,,,,,,,,7,Inanda Road,HILLCREST,3650
Merewent Service Station,,,,,,,,3,Rajmahal Road,MEREWENT,4068
Midland Motors,,,,,,,,70,Newcastle Road,LADYSMITH,3370
Model Garage,,,,,,,,163,king cetshwayo highway,MAYVILLE,4091
Montwood Motors,,,,,,,,123,Montclair Road,MONTCLAIR,4000
Moore Rd Service Station,,,,,,,,222,Che Guevara Road,BEREA,4001
Motorhaven,,,,,,,,55,Fleet Street,EAST LONDON,5201
Mulla Motors,,,,,,,,30,Meranti Street,DURBAN,4060
Nagina Service station,,,,,,,,2,Soniway,MARIANHILL,3610
National Service Station,,,,,,,,14,Hunslett Road,PHOENIX INDUSTRIAL PARK,4068
Neil Woolridge Motors,,,,,,,,2,Chief Albert Luthuli Street,PIETERMARITZBURG,3201
New Germany Service Centre,,,,,,,,33,Shepstone Road,NEW GERMANY,3620
Northern Motors,,,,,,,,6,Queen Street,LADYSMITH,3370
Norwood BP Centre,,,,,,,,,Main Durban Road,UMTATA,5100
Ntlali Motors,,,,,,,,,PO Box 1,MQANDULI,5080
Oaks Service Station,,,,,,,,13,Hope Street,KOKSTAD,4700
Palm Service Centre,,,,,,,,14,Bullion Boulevard,RICHARDS BAY,3900
Pelican Service Station,,,,,,,,,Pelican Place,YELLOWWOOD PARK,4011
Prestige Service Station,,,,,,,,172,Leicester Road,DURBAN,4060
Quarry Service Centre,,,,,,,,57,Hilton Avenue,HILTON,3245
Queensburgh Auto Centre,,,,,,,,60,Main Road,"MALVERN, QUEENSBURGH",4093
Randles Road Service Station,,,,,,,,240,Randles Road,SYDENHAM,4001
Reservoir Hills Service Statio,,,,,,,,292,Mountbatten Drive,RESERVOIR HILLS,4091
Road Island Service Station,,,,,,,,,Main Road,MTUNZINI,3867
Robs Motors,,,,,,,,,Ridge Road,CATO RIDGE,3680
Saibs Service Station,,,,,,,,108,Woodview Drive,PHOENIX,4015
Seadoone Service Station,,,,,,,,26,Seadoone Road,AMANZIMTOTI,4125
Sondoni Service Station,,,,,,,,1002,Sundumbili Township,MANDINI,4490
Springpark Service Station,,,,,,,,26,Palmfield Road,SPRINGFIELD,4034
S S S Motors,,,,,,,,62,Kirkland Street,NEWCASTLE,2940
Sunpark Motors,,,,,,,,,PO Box 39025,QUEENSBURGH,4070
Sydfred's Motors,,,,,,,,116,Main Street,MATATIELE,4730
Tall Tree Service Station,,,,,,,,70,Connor Street,ESCOURT,3310
Thompson Service Centre,,,,,,,,,Marine Or East Street,SHELLY BEACH,4240
Umhlali Farmer Services,,,,,,,,,Old Salt Rock Road,UMHLALI,4390
Umlazi Service Centre,,,,,,,,,Cnr Road 1 and Magosuthi Highway,UMLAZI,4058
Village Road Motors,,,,,,,,33,Village Road,KLOOF,3640
Wartburg Service Station,,,,,,,,,Cnr Noodsbg and Schroeders,WARTBURG,3233
Westville Autohouse,,,,,,,,24,Church Road,WESTVILLE,3630
Westville Motors,,,,,,,,129,Jan Hofmeyr Road,WESTVILLE,3631
ZZZ Service Station,,,,,,,,,cnr Madeira & Eagle Streets,UMTATA,5100
