El Corro Motors,,14th Avenue & Bagley Terrace,NORTHCLIFF,2195
Fountain Service Station,26,Krogh Street,STANDERTON,2430
Fourways Gardens BP,,Uranium,FOURWAYS,2068
Frates Motors,,Frederick & Frates,RIETFONTEIN,31
Glenfair Service Station,,Cor Lynnwood & Daventry Roads,LYNNWOOD MANOR,40
Gold Star Motors,24,Grobler Street,PIETERSBURG,700
Golf Course Garage,,Main Road,IRENE,1675
Grayston Drive,119,Grayston Drive & North Roads,SANDOWNS,2010
Hatfield Gardens Service S,,Cnr Hilda & Schoeman Streets,HATFIELD,40
Highway Nissan,,Cnr Quitzow & Main Road,MACHADODORP,1170
Hutton Hyde Park,291,Jan Smuts Avenue,DUNKELD WEST,2132
Ismail Auto Centre And Car,81,Petunia Road,RUSTENBURG,302
Jealous Garage,476,Jericho Road,MABOLOKA,250
J & M Diensstasie,52,Jameson Street,KOSTER,2825
J O Garage/G & W Driveway,1,Venter Street,ELLISRAS,555
Kgomotso Motors,113,Third Street,HAMMANSKRAAL,116
Kya Sand Service Station,,Cnr Bernie & River Road,KYA SANDS,2001
La Montagne Motors,230,Albertus Street,LA MONTAGNE,184
Lesontol Motors,8898,Motsatsi Road,GARANKUWA,200
Leyds Street Motors,,Leyds & Pretorius Streets,ARCADIA,7
Lichtenburg Diesel Service Sta,,Cnr Hendrik Potgiete & 6th Ave,LICHTENBURG,2740
Limpopo Toyota,108,Landrost Mare Street,PIETERSBURG,700
Loskop Vallei Vulstasie,,Cnr Hereford & Van Riebeeck Street,GROBLERSDAL,450
Lynross BP,,Cnr Piet Rautenback & Piet Pret,ROSSLYN,200
Magaliesburg Diensstasie,29,Rustenberg Road,MAGALIESBURG,2805
Makapanstad BP,,Makapaanstad Road,MAKAPAANSTAD,190
Mashikoane Service Station,,BLOCK H (Mabopane),SOSHUNGUVE,152
Midway Motors,2305,Shabangu Street,KANYAMAZANE,1214
Montana Motors,369,Serissa Street,MONTANA,151
More Power Service Station,,Cnr 5th & 10th Sts,ALBERTSKROON,0
Ndlela Taxi City,,John Chapman Drive,TEMBISA,1632
Negota Motors,,Kgomongwe & Makhele Sts,MABOPANE,190
Ontdekkerspark Motors,328,cnr Louis & Ontdekkers Roads,DISCOVERY,1711
Palm Court Fuels,,JG Strydom Ave & Fern Ave,WELTERVREDENPARK,1715
Pondo Motors,1520,Muhlaya Street,GAZANKULU,826
Rametse Motors,3827,Nelson Mandela Drive,SESHEGO,742
Rex Motors,3,Church Street,MIDDELBURG,1050
Ridgewood Motors,16,Camellia Avenue,LYNNWOOD,81
River Service Station,947,Unit 3,MOGWASE,314
Safari Motors,54,Sarel Cilliers Street,DELMAS,2210
Safarituine Diensstasie,2,Arend Road,RUSTENBURG,300
Sampo Motors,,cnr Swart & Buiten Streets,LICHTENBURG,2740
Sentraal Motors,963,Ben Swart Street,VILERIA,186
Sheba Motors,38,General Street,BARBERTON,1824
Simon Vermooten,,cnr Furrow & Simon Vermooten,THE WILLOWS,41
Sonpark Diensstasie,,Dan Pienaar & Piet Retief Str,NELSPRUIT,1201
Teanong Service Station,537,Rev Rtj Namane Drive,TEMBISA,1624
Tlhabane Service Centre,,Tlhabane Civic Centre,TLHABANE,299
Trek Inn,1,Stuart Street,BALFOUR,2410
Triple A Service Station,,Cnr Michael Brink & 12th Ave,GEZINA,84
Val De Grace Motors,94,Watermeyer Street,VAL DE GRACE,184
Verde Motors,,Cnr Willem Botha  Ruimte Roads,WIERDAPARK,149
Waterfall Service Centre,,Cnr Bekker & le Roux Street,VORNA VALLEY,1686
Action Filling Station,4451,Bochabelo,BLOEMFONTEIN,9323
Auto Centre,42,South Main Reef Road,SPRINGS,1560
Birdhaven BP,,cnr St Andrew & North Wrenrose Sts,BIRDHAVEN,2131
Boulevard Motors (vd Bijlpark),,Cnr Jan van Riebeeck & Meyer Sts,VANDERBIJLPARK,1900
BP Airfield,,Cnr Aerodrome Drive & Webb St,NORTHMEAD     BENONI,1511
BP Atlas Service Station,,cnr Atlas & Louis Botha Avenue,BONAERO PARK,2013
BP Balfour Park Motors,,Balfour Park Shopping Centre,BALFOUR,2410
BP Bara,,Old Potchefstroom Road,JOHANNESBURG,2016
BP Bedfordview,,cnr Van Buuren & King Streets,BEDFORDVIEW,2001
BP Birnam Park,75,Corlett Drive,BIRNAM,2001
BP Braamfontein,120,Smit Street,BRAAMFONTEIN,1459
BP Bramley,22,Canning Road,BRAMLEY,2090
BP Brickfield,,Cnr Buurman & Brickfield Road,SPRUITVIEW,1804
BP Bruma,,cnr Marcia & Broadway Avenue,BRUMA,2001
BP Craftsman,,Cnr Milesharp & Hartshowe Street,RYNFIELD,1501
BP Daveyton,16,Heald Street,DAVEYTON,1520
BP Devland,183 & 184,Golden Highway,DEVLAND,2064
BP Diensstasie,110,Voortrekker Street,COLIGNY,2725
BP Diepkloof,,cnr Potch & Promologoane Roads,DIEPKLOOF,1804
BP Dobsonville,,cnr Kgame & Mohajane,DOBSONVILLE,1865
BP Edenvale North,,Van Riebeeck Road,MODDERFONTEIN,2041
